鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元
萬華區,房地(土地+建物),臺北市萬華區昆明街121~150號,4.96,商,,,10306,土地2建物1車位0,六層,009,套房(1房1廳1衛),住家用,鋼筋混凝土造,0690915,34.05,1,0,1,有,無,5900000,173275,,0.0,0
中正區,房地(土地+建物),臺北市中正區開封街一段1~30號,4.29,商,,,10307,土地1建物1車位0,七層,012,辦公商業大樓,商業用,鋼筋混凝土造,0770930,46.7,1,1,1,有,有,8200000,175589,,0.0,0
中正區,土地,城中段二小段361~390地號,27.0,其他,,,10307,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1648350,61050,,0.0,0
萬華區,房地(土地+建物)+車位,臺北市萬華區和平西路三段286巷1弄1~30號,28.82,其他,,,10306,土地1建物1車位1,三層,008,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0981001,165.16,3,2,2,有,有,24300000,147130,升降平面,30.32,0
大同區,房地(土地+建物),臺北市大同區保安街1~30號,30.33,商,,,10307,土地1建物1車位0,七層,007,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0670202,164.05,3,2,2,有,有,26200000,159707,,0.0,0
大同區,房地(土地+建物),臺北市大同區承德路三段51巷1~30號,26.8,商,,,10307,土地3建物1車位0,三層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0660817,102.36,4,2,2,有,無,16250000,158753,,0.0,0
萬華區,土地,莒光段三小段511~540地號,7.06,住,,,10307,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1350000,191218,,0.0,0
大同區,房地(土地+建物),臺北市大同區重慶北路二段151~180號,103.0,商,,,10306,土地1建物1車位0,全,003,透天厝,,加強磚造,,238.14,2,3,3,有,無,77900000,327119,,0.0,0
萬華區,房地(土地+建物)+車位,臺北市萬華區內江街31~60號,4.96,商,,,10307,土地1建物1車位1,十一層,013,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020914,90.75,0,0,0,無,有,12100000,133333,升降機械,24.52,0
大同區,房地(土地+建物),臺北市大同區延平北路二段271~300號,7.47,其他,,,10307,土地1建物1車位0,四層,010,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,,63.82,1,1,1,有,無,9100000,142589,,0.0,0
萬華區,房地(土地+建物)+車位,臺北市萬華區萬大路423巷31~60號,40.52,住,,,10307,土地4建物1車位1,九層,014,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970103,189.3,3,2,2,有,有,18500000,97728,坡道平面,0.0,0
中山區,房地(土地+建物),臺北市中山區農安街1~30號,6.24,商,,,10307,土地1建物1車位0,十一層,011,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0690821,59.56999999999999,2,1,1,有,有,11250000,188853,,0.0,0
內湖區,房地(土地+建物)+車位,臺北市內湖區星雲街138巷1~30號,41.44,住,,,10306,土地1建物1車位1,十層,012,住宅大樓(11層含以上有電梯),國民住宅,鋼筋混凝土造,0880602,160.98,4,2,2,有,有,28000000,173935,坡道平面,0.0,0
中山區,房地(土地+建物),臺北市中山區德惠街31~60號,2.71,商,,,10307,土地1建物1車位0,六層,011,套房(1房1廳1衛),住家用,鋼筋混凝土造,0710227,29.63,1,1,1,有,有,4950000,167060,,0.0,0
內湖區,房地(土地+建物)+車位,臺北市內湖區康寧路一段241~270號,54.02,住,,,10306,土地1建物1車位1,七層,011,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940715,189.79000000000002,3,2,2,有,有,31100000,163865,坡道平面,0.0,0
中山區,土地,金泰段91~120地號,49.64,商,,,10305,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,30034600,605048,,0.0,0
中山區,房地(土地+建物),臺北市中山區新生北路二段61~90號,2.46,商,,,10307,土地1建物1車位0,四層,012,辦公商業大樓,商業用,鋼筋混凝土造,0690721,28.479999999999997,1,0,1,有,有,4000000,140449,,0.0,0
內湖區,房地(土地+建物)+車位,臺北市內湖區文德路271~300號,24.91,住,,,10306,土地2建物1車位1,十一層,014,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961130,156.39,3,2,2,有,有,32800000,209732,坡道平面,34.44,0
中山區,房地(土地+建物),臺北市中山區雙城街4巷1~30號,5.21,商,,,10307,土地1建物1車位0,四層,007,套房(1房1廳1衛),商業用,鋼筋混凝土造,0831018,38.54,1,1,1,有,有,6950000,180332,,0.0,0
內湖區,房地(土地+建物),臺北市內湖區康寧路一段214巷1~30號,27.41,住,,,10307,土地2建物1車位0,五層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0750319,111.51,3,1,2,有,無,14000000,125549,,0.0,0
內湖區,房地(土地+建物)+車位,臺北市內湖區內湖路三段60巷12弄61~90號,19.96,住,,,10307,土地1建物1車位1,一層,018,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830729,117.61,3,2,2,有,有,6000000,51016,坡道平面,44.45,0
內湖區,土地,石潭段二小段241~270地號,3.27,其他,,,10307,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,160000,48930,,0.0,0
內湖區,土地,石潭段四小段391~420地號,19.94,住,,,10307,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4221000,211685,,0.0,0
內湖區,房地(土地+建物)+車位,臺北市內湖區新明路151~180號,45.82,工,,,10102,土地1建物1車位3,四層,013,廠辦,見其他登記事項,鋼筋混凝土造,1030129,349.01,0,0,0,無,無,39640000,121658,坡道平面,74.14,6200000
內湖區,房地(土地+建物)+車位,臺北市內湖區新明路151~180號,45.27,工,,,10102,土地1建物1車位2,四層,013,廠辦,見其他登記事項,鋼筋混凝土造,1030129,316.81,0,0,0,無,無,37240000,122240,坡道平面,43.25,3800000
